study_accession	sample_accession	run_accession	library_layout
PRJEB13831	SAMEA4527611	ERR1725962	PAIRED
PRJEB13831	SAMEA4527611	ERR1725963	PAIRED
PRJEB13831	SAMEA4527611	ERR1725964	PAIRED
PRJEB13831	SAMEA4527613	ERR1725965	PAIRED
PRJEB13831	SAMEA4527615	ERR1725966	PAIRED
PRJEB13831	SAMEA4527616	ERR1725967	PAIRED
PRJEB13831	SAMEA4527616	ERR1725968	PAIRED
PRJEB13831	SAMEA4527622	ERR1725969	PAIRED
PRJEB13831	SAMEA4527622	ERR1725970	PAIRED
PRJEB13831	SAMEA4527622	ERR1725971	PAIRED
PRJEB13831	SAMEA4527622	ERR1725972	PAIRED
PRJEB13831	SAMEA4527624	ERR1725973	PAIRED
PRJEB13831	SAMEA4527625	ERR1725974	PAIRED
PRJEB13831	SAMEA4527625	ERR1725975	PAIRED
PRJEB13831	SAMEA4527628	ERR1725976	PAIRED
PRJEB13831	SAMEA4527628	ERR1725977	PAIRED
PRJEB13831	SAMEA4527630	ERR1725978	PAIRED
PRJEB13831	SAMEA4527631	ERR1725979	PAIRED
PRJEB13831	SAMEA4527631	ERR1725980	PAIRED
PRJEB13831	SAMEA4527632	ERR1725981	PAIRED
PRJEB13831	SAMEA4527633	ERR1725982	PAIRED
PRJEB13831	SAMEA4527634	ERR1725983	PAIRED
PRJEB13831	SAMEA4527634	ERR1725984	PAIRED
PRJEB13831	SAMEA4527637	ERR1725985	PAIRED
PRJEB13831	SAMEA4527637	ERR1725986	PAIRED
PRJEB13831	SAMEA4527641	ERR1725987	PAIRED
PRJEB13831	SAMEA4527642	ERR1725988	PAIRED
PRJEB13831	SAMEA4527642	ERR1725989	PAIRED
PRJEB13831	SAMEA4527643	ERR1725990	PAIRED
PRJEB13831	SAMEA4527643	ERR1725991	PAIRED
PRJEB13831	SAMEA4527644	ERR1725992	PAIRED
PRJEB13831	SAMEA4527644	ERR1725993	PAIRED
PRJEB13831	SAMEA4527645	ERR1725994	PAIRED
PRJEB13831	SAMEA4527645	ERR1725995	PAIRED
PRJEB13831	SAMEA4527646	ERR1725996	PAIRED
PRJEB13831	SAMEA4527647	ERR1725997	PAIRED
PRJEB13831	SAMEA4527647	ERR1725998	PAIRED
PRJEB13831	SAMEA4527648	ERR1725999	PAIRED
PRJEB13831	SAMEA4527651	ERR1726000	PAIRED
PRJEB13831	SAMEA4527655	ERR1726001	PAIRED
PRJEB13831	SAMEA4527656	ERR1726002	PAIRED
PRJEB13831	SAMEA4527657	ERR1726003	PAIRED
PRJEB13831	SAMEA4527658	ERR1726004	PAIRED
PRJEB13831	SAMEA4527660	ERR1726005	PAIRED
PRJEB13831	SAMEA4527660	ERR1726006	PAIRED
PRJEB13831	SAMEA4527661	ERR1726007	PAIRED
PRJEB13831	SAMEA4527661	ERR1726008	PAIRED
PRJEB13831	SAMEA4527663	ERR1726009	PAIRED
PRJEB13831	SAMEA4527666	ERR1726010	PAIRED
PRJEB13831	SAMEA4527666	ERR1726011	PAIRED
PRJEB13831	SAMEA4527667	ERR1726012	PAIRED
PRJEB13831	SAMEA4527667	ERR1726013	PAIRED
PRJEB13831	SAMEA4527667	ERR1726014	PAIRED
PRJEB13831	SAMEA4527667	ERR1726015	PAIRED
PRJEB13831	SAMEA4527669	ERR1726016	PAIRED
PRJEB13831	SAMEA4527669	ERR1726017	PAIRED
PRJEB13831	SAMEA4527670	ERR1726018	PAIRED
PRJEB13831	SAMEA4527670	ERR1726019	PAIRED
PRJEB13831	SAMEA4527671	ERR1726020	PAIRED
PRJEB13831	SAMEA4527671	ERR1726021	PAIRED
PRJEB13831	SAMEA4527671	ERR1726022	PAIRED
PRJEB13831	SAMEA4527671	ERR1726023	PAIRED
PRJEB13831	SAMEA4527672	ERR1726024	PAIRED
PRJEB13831	SAMEA4527672	ERR1726025	PAIRED
PRJEB13831	SAMEA4527672	ERR1726026	PAIRED
PRJEB13831	SAMEA4527672	ERR1726027	PAIRED
PRJEB13831	SAMEA4527672	ERR1726028	PAIRED
PRJEB13831	SAMEA4527672	ERR1726029	PAIRED
PRJEB13831	SAMEA4527677	ERR1726030	PAIRED
PRJEB13831	SAMEA4527678	ERR1726031	PAIRED
PRJEB13831	SAMEA4527679	ERR1726032	PAIRED
PRJEB13831	SAMEA4527679	ERR1726033	PAIRED
PRJEB13831	SAMEA4527679	ERR1726034	PAIRED
PRJEB13831	SAMEA4527679	ERR1726035	PAIRED
PRJEB13831	SAMEA4527599	ERR2592244	PAIRED
PRJEB13831	SAMEA4527600	ERR2592245	PAIRED
PRJEB13831	SAMEA4527602	ERR2592246	PAIRED
PRJEB13831	SAMEA4527603	ERR2592247	PAIRED
PRJEB13831	SAMEA4527604	ERR2592248	PAIRED
PRJEB13831	SAMEA4527606	ERR2592249	PAIRED
PRJEB13831	SAMEA4527609	ERR2592250	PAIRED
PRJEB13831	SAMEA4527611	ERR2592251	PAIRED
PRJEB13831	SAMEA4527613	ERR2592252	PAIRED
PRJEB13831	SAMEA4527615	ERR2592253	PAIRED
PRJEB13831	SAMEA4527616	ERR2592254	PAIRED
PRJEB13831	SAMEA4527624	ERR2592255	PAIRED
PRJEB13831	SAMEA4527625	ERR2592256	PAIRED
PRJEB13831	SAMEA4527628	ERR2592257	PAIRED
PRJEB13831	SAMEA4527630	ERR2592258	PAIRED
PRJEB13831	SAMEA4527632	ERR2592259	PAIRED
PRJEB13831	SAMEA4527633	ERR2592260	PAIRED
PRJEB13831	SAMEA4527637	ERR2592261	PAIRED
PRJEB13831	SAMEA4527641	ERR2592262	PAIRED
PRJEB13831	SAMEA4527643	ERR2592263	PAIRED
PRJEB13831	SAMEA4527645	ERR2592264	PAIRED
PRJEB13831	SAMEA4527646	ERR2592265	PAIRED
PRJEB13831	SAMEA4527647	ERR2592266	PAIRED
PRJEB13831	SAMEA4527648	ERR2592267	PAIRED
PRJEB13831	SAMEA4527651	ERR2592268	PAIRED
PRJEB13831	SAMEA4527655	ERR2592269	PAIRED
PRJEB13831	SAMEA4527656	ERR2592270	PAIRED
PRJEB13831	SAMEA4527658	ERR2592271	PAIRED
PRJEB13831	SAMEA4527661	ERR2592272	PAIRED
PRJEB13831	SAMEA4527663	ERR2592273	PAIRED
PRJEB13831	SAMEA4527666	ERR2592274	PAIRED
PRJEB13831	SAMEA4527667	ERR2592275	PAIRED
PRJEB13831	SAMEA4527668	ERR2592276	PAIRED
PRJEB13831	SAMEA4527669	ERR2592277	PAIRED
PRJEB13831	SAMEA4527670	ERR2592278	PAIRED
PRJEB13831	SAMEA4527671	ERR2592279	PAIRED
PRJEB13831	SAMEA4527672	ERR2592280	PAIRED
PRJEB13831	SAMEA4527677	ERR2592281	PAIRED
PRJEB13831	SAMEA4527678	ERR2592282	PAIRED
PRJEB13831	SAMEA4527679	ERR2592283	PAIRED
PRJEB13831	SAMEA4527600	ERR2592328	PAIRED
PRJEB13831	SAMEA4527607	ERR2592329	PAIRED
PRJEB13831	SAMEA4527609	ERR2592330	PAIRED
PRJEB13831	SAMEA4527611	ERR2592331	PAIRED
PRJEB13831	SAMEA4527616	ERR2592332	PAIRED
PRJEB13831	SAMEA4527621	ERR2592333	PAIRED
PRJEB13831	SAMEA4527622	ERR2592334	PAIRED
PRJEB13831	SAMEA4527628	ERR2592335	PAIRED
PRJEB13831	SAMEA4527641	ERR2592336	PAIRED
PRJEB13831	SAMEA4527645	ERR2592337	PAIRED
PRJEB13831	SAMEA4527647	ERR2592338	PAIRED
PRJEB13831	SAMEA4527661	ERR2592339	PAIRED
PRJEB13831	SAMEA4527667	ERR2592340	PAIRED
PRJEB13831	SAMEA4527671	ERR2592341	PAIRED
PRJEB13831	SAMEA4527672	ERR2592342	PAIRED
PRJEB13831	SAMEA4527679	ERR2592343	PAIRED
