ERR1713358	69420752.000000
ERR1713356	72560126.000000
ERR1713351	74002632.000000
ERR1713371	52980798.000000
ERR1713352	64965970.000000
ERR1713396	73084376.000000
ERR1713366	66338600.000000
ERR1713361	74637843.000000
ERR1713331	66270006.000000
ERR1713359	50793289.000000
ERR1713400	68311497.000000
ERR1713343	70925854.000000
ERR1713395	67944030.000000
ERR1713340	69859736.000000
ERR1713332	66345960.000000
ERR1713353	73892194.000000
ERR1713342	69983857.000000
ERR1713406	72567318.000000
ERR1713333	65908644.000000
ERR1713381	74569991.000000
ERR1713393	48427879.000000
ERR1713397	75302713.000000
ERR1713336	62989228.000000
ERR1713334	73292287.000000
ERR1713339	68560706.000000
ERR1713372	69912728.000000
ERR1713345	73835699.000000
ERR1713341	67153669.000000
ERR1713401	70704102.000000
ERR1713399	75918269.000000
ERR1713388	69202068.000000
ERR1713403	70099770.000000
ERR1713373	73949333.000000
ERR1713376	68985038.000000
ERR1713337	71283537.000000
ERR1713344	78652018.000000
ERR1713391	74722142.000000
ERR1713375	70671099.000000
ERR1713362	76348630.000000
ERR1713389	72702111.000000
ERR1713355	65516008.000000
ERR1713379	76135247.000000
ERR1713363	68766732.000000
ERR1713409	69706266.000000
ERR1713402	69316883.000000
ERR1713378	74567707.000000
ERR1713374	61043874.000000
ERR1713405	72720550.000000
ERR1713335	70614010.000000
ERR1713382	68171484.000000
